id	ts	model	prompt	cached	hit%	comp	reasoning	finish	nMsgs	sysLen
95	17:04:18	kimi-k3	61415	47360	77.1	191	0	tool_calls	15	11836
96	17:04:33	kimi-k3	62687	60160	96	196	0	tool_calls	18	11836
97	17:04:44	kimi-k3	63006	61440	97.5	151	0	tool_calls	21	11836
98	17:04:55	kimi-k3	63526	61696	97.1	3598	0	tool_calls	23	11836
99	17:08:13	kimi-k3	67208	62208	92.6	390	0	stop	25	11836
100	17:08:35	deepseek-v4-flash	183101	2944	1.6	70	0	tool_calls	192	11836
101	17:08:50	deepseek-v4-flash	186484	183168	98.2	479	272	tool_calls	194	11836
102	17:10:01	deepseek-v4-flash	188137	186880	99.3	213	0	tool_calls	197	11836
103	17:10:32	deepseek-v4-flash	188609	188288	99.8	125	52	tool_calls	199	11836
104	17:10:53	deepseek-v4-flash	188758	188672	100	94	0	tool_calls	201	11836
105	17:11:03	deepseek-v4-flash	187414	2944	1.6	64	0	tool_calls	203	11836
106	17:11:15	deepseek-v4-flash	185937	3456	1.9	155	0	stop	205	11836
107	17:14:20	deepseek-v4-flash	185819	2944	1.6	667	539	tool_calls	207	11836
108	17:15:48	deepseek-v4-flash	188480	2944	1.6	302	97	tool_calls	210	11836
109	17:16:25	deepseek-v4-flash	189676	188672	99.5	178	67	tool_calls	213	11836
110	17:16:44	deepseek-v4-flash	192103	189824	98.8	1945	386	tool_calls	215	11836
111	17:21:30	deepseek-v4-flash	196917	3456	1.8	625	74	tool_calls	217	11836
112	17:23:14	deepseek-v4-flash	197673	197504	99.9	1231	1140	tool_calls	219	11836
114	05:56:35	deepseek-v4-flash	242660	2816	1.2	332	0	tool_calls	194	11424
115	05:57:09	deepseek-v4-flash	243049	242944	100	66	0	tool_calls	197	11424
116	05:57:18	deepseek-v4-flash	243214	243072	99.9	300	0	tool_calls	199	11424
117	05:57:49	deepseek-v4-flash	243924	243456	99.8	94	0	tool_calls	201	11424
118	05:58:01	deepseek-v4-flash	243077	2176	0.9	61	0	tool_calls	203	10894
119	05:58:23	deepseek-v4-flash	241471	2688	1.1	442	171	stop	205	10353

AGGREGATES:
requests_with_usage=116
total_prompt=16542889 total_cached=12966656 total_completion=84650 total_reasoning=41543
OVERALL_HIT_PCT=78.4
requests_ge95pct_hit=81 (69.8%)
reset_requests_lt50pct=24
tokens_wasted_on_resets=3395497 (20.5% of prompt)
projected_hit_if_resets_eliminated=98.9
reset_rows: 1 hit=32.6% prompt=6665 cached=2176 | 2 hit=2.9% prompt=74189 cached=2176 | 9 hit=1.6% prompt=132215 cached=2176 | 11 hit=2% prompt=133068 cached=2688 | 21 hit=2.6% prompt=122197 cached=3200 | 23 hit=0% prompt=101329 cached=0 | 25 hit=0% prompt=104206 cached=0 | 30 hit=2.4% prompt=122331 cached=2944 | 41 hit=2.5% prompt=140878 cached=3584 | 56 hit=2.5% prompt=146213 cached=3584 | 62 hit=2.4% prompt=151803 cached=3584 | 75 hit=2.1% prompt=169279 cached=3584 | 86 hit=2% prompt=175387 cached=3584 | 89 hit=0% prompt=6930 cached=0 | 90 hit=29.3% prompt=19211 cached=5632 | 100 hit=1.6% prompt=183101 cached=2944 | 105 hit=1.6% prompt=187414 cached=2944 | 106 hit=1.9% prompt=185937 cached=3456 | 107 hit=1.6% prompt=185819 cached=2944 | 108 hit=1.6% prompt=188480 cached=2944 | 111 hit=1.8% prompt=196917 cached=3456 | 114 hit=1.2% prompt=242660 cached=2816 | 118 hit=0.9% prompt=243077 cached=2176 | 119 hit=1.1% prompt=241471 cached=2688

