id=1 ts=08:19:05 model=deepseek-v4-pro prompt=6665 cached=2176 hitPct=32.6 () completion=236 reasoning=149 finish=tool_calls ttft=0 gen=3701 nMsgs=2 roles=[system,user] sysLen=10314
id=16 ts=08:36:35 model=deepseek-v4-pro prompt=136161 cached=136064 hitPct=99.9 (up) completion=111 reasoning=0 finish=tool_calls ttft=0 gen=2898 nMsgs=37 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11657
id=17 ts=08:36:40 model=deepseek-v4-pro prompt=136297 cached=136192 hitPct=99.9 (up) completion=219 reasoning=0 finish=tool_calls ttft=0 gen=3364 nMsgs=39 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11657
id=18 ts=08:36:45 model=deepseek-v4-pro prompt=136562 cached=136448 hitPct=99.9 (up) completion=91 reasoning=36 finish=tool_calls ttft=0 gen=2547 nMsgs=42 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool] sysLen=11657
id=19 ts=08:36:49 model=deepseek-v4-pro prompt=140714 cached=136576 hitPct=97.1 (DOWN) completion=241 reasoning=88 finish=tool_calls ttft=0 gen=6732 nMsgs=44 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool] sysLen=11657
id=20 ts=08:36:58 model=deepseek-v4-pro prompt=140980 cached=140928 hitPct=100 (up) completion=45 reasoning=0 finish=tool_calls ttft=0 gen=1285 nMsgs=46 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool] sysLen=11657
id=21 ts=08:37:01 model=deepseek-v4-pro prompt=141004 cached=2816 hitPct=2 (DOWN) completion=822 reasoning=651 finish=tool_calls ttft=0 gen=29235 nMsgs=48 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11371
id=22 ts=08:37:32 model=deepseek-v4-pro prompt=141850 cached=141824 hitPct=100 (up) completion=270 reasoning=0 finish=tool_calls ttft=0 gen=5239 nMsgs=50 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11371
id=23 ts=08:37:38 model=deepseek-v4-pro prompt=142144 cached=142080 hitPct=100 (up) completion=165 reasoning=0 finish=tool_calls ttft=0 gen=3718 nMsgs=52 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11371
id=24 ts=08:37:44 model=deepseek-v4-pro prompt=142333 cached=142208 hitPct=99.9 (DOWN) completion=220 reasoning=0 finish=tool_calls ttft=0 gen=5302 nMsgs=54 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11371
id=25 ts=08:37:51 model=deepseek-v4-pro prompt=142577 cached=142464 hitPct=99.9 (up) completion=86 reasoning=15 finish=tool_calls ttft=0 gen=2571 nMsgs=56 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11371
id=26 ts=08:37:55 model=deepseek-v4-pro prompt=143586 cached=142592 hitPct=99.3 (DOWN) completion=94 reasoning=49 finish=tool_calls ttft=0 gen=3251 nMsgs=58 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11371
id=27 ts=08:38:00 model=deepseek-v4-pro prompt=143785 cached=2816 hitPct=2 (DOWN) completion=109 reasoning=0 finish=tool_calls ttft=0 gen=14158 nMsgs=60 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=28 ts=08:38:15 model=deepseek-v4-pro prompt=144424 cached=143872 hitPct=99.6 (up) completion=105 reasoning=34 finish=tool_calls ttft=0 gen=3179 nMsgs=63 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool] sysLen=11413
id=29 ts=08:38:20 model=deepseek-v4-pro prompt=144971 cached=144512 hitPct=99.7 (up) completion=1088 reasoning=536 finish=tool_calls ttft=0 gen=25090 nMsgs=65 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool] sysLen=11413
id=30 ts=08:38:47 model=deepseek-v4-pro prompt=146085 cached=146048 hitPct=100 (up) completion=90 reasoning=0 finish=tool_calls ttft=1 gen=2687 nMsgs=67 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool] sysLen=11413
id=31 ts=08:38:54 model=deepseek-v4-pro prompt=146980 cached=146048 hitPct=99.4 (DOWN) completion=271 reasoning=162 finish=tool_calls ttft=0 gen=8580 nMsgs=69 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=32 ts=08:39:05 model=deepseek-v4-pro prompt=147276 cached=147200 hitPct=99.9 (up) completion=166 reasoning=34 finish=tool_calls ttft=0 gen=4960 nMsgs=71 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=33 ts=08:39:13 model=deepseek-v4-pro prompt=147515 cached=147328 hitPct=99.9 (up) completion=50 reasoning=0 finish=tool_calls ttft=0 gen=2794 nMsgs=73 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=34 ts=08:39:18 model=deepseek-v4-pro prompt=147874 cached=147456 hitPct=99.7 (DOWN) completion=186 reasoning=33 finish=tool_calls ttft=0 gen=4870 nMsgs=75 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=35 ts=08:39:24 model=deepseek-v4-pro prompt=148080 cached=147968 hitPct=99.9 (up) completion=89 reasoning=0 finish=tool_calls ttft=0 gen=1929 nMsgs=77 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=36 ts=08:39:30 model=deepseek-v4-pro prompt=149039 cached=148096 hitPct=99.4 (DOWN) completion=248 reasoning=142 finish=tool_calls ttft=0 gen=8847 nMsgs=79 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=37 ts=08:39:45 model=deepseek-v4-pro prompt=149335 cached=149248 hitPct=99.9 (up) completion=81 reasoning=0 finish=tool_calls ttft=0 gen=2596 nMsgs=81 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=38 ts=08:39:58 model=deepseek-v4-pro prompt=164490 cached=149376 hitPct=90.8 (DOWN) completion=132 reasoning=64 finish=tool_calls ttft=0 gen=7756 nMsgs=83 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11413
id=39 ts=08:40:07 model=deepseek-v4-pro prompt=164620 cached=2816 hitPct=1.7 (DOWN) completion=44 reasoning=0 finish=tool_calls ttft=0 gen=16762 nMsgs=85 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11521
id=40 ts=08:40:26 model=deepseek-v4-pro prompt=164827 cached=164608 hitPct=99.9 (up) completion=160 reasoning=100 finish=tool_calls ttft=0 gen=6645 nMsgs=87 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11521
id=41 ts=08:40:35 model=deepseek-v4-pro prompt=165022 cached=164864 hitPct=99.9 (up) completion=1054 reasoning=329 finish=tool_calls ttft=0 gen=47322 nMsgs=89 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11521
id=42 ts=08:41:25 model=deepseek-v4-pro prompt=166125 cached=166016 hitPct=99.9 (up) completion=74 reasoning=49 finish=stop ttft=0 gen=6958 nMsgs=91 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool] sysLen=11521
id=43 ts=08:41:25 model=deepseek-v4-pro prompt=5994 cached=2176 hitPct=36.3 (DOWN) completion=54 reasoning=14 finish=tool_calls ttft=0 gen=5989 nMsgs=2 roles=[system,user] sysLen=11079
id=44 ts=08:41:33 model=deepseek-v4-pro prompt=10215 cached=6016 hitPct=58.9 (up) completion=210 reasoning=65 finish=tool_calls ttft=0 gen=7837 nMsgs=4 roles=[system,user,assistant,tool] sysLen=11079
id=45 ts=08:41:43 model=deepseek-v4-pro prompt=16221 cached=10368 hitPct=63.9 (up) completion=1793 reasoning=1614 finish=tool_calls ttft=0 gen=68964 nMsgs=6 roles=[system,user,assistant,tool,assistant,tool] sysLen=11079
id=46 ts=08:42:53 model=deepseek-v4-pro prompt=21935 cached=17920 hitPct=81.7 (up) completion=177 reasoning=47 finish=tool_calls ttft=0 gen=5358 nMsgs=9 roles=[system,user,assistant,tool,assistant,tool,assistant,tool,tool] sysLen=11079
id=47 ts=08:43:00 model=deepseek-v4-pro prompt=22382 cached=22016 hitPct=98.4 (up) completion=282 reasoning=169 finish=tool_calls ttft=0 gen=9603 nMsgs=12 roles=[system,user,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,tool] sysLen=11079
id=48 ts=08:43:12 model=deepseek-v4-pro prompt=24959 cached=22656 hitPct=90.8 (DOWN) completion=296 reasoning=196 finish=tool_calls ttft=0 gen=9531 nMsgs=14 roles=[system,user,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool] sysLen=11079
id=49 ts=08:43:22 model=deepseek-v4-pro prompt=29322 cached=25216 hitPct=86 (DOWN) completion=3957 reasoning=3751 finish=tool_calls ttft=0 gen=160894 nMsgs=16 roles=[system,user,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool] sysLen=11079
id=50 ts=08:46:05 model=deepseek-v4-pro prompt=35949 cached=33152 hitPct=92.2 (up) completion=4750 reasoning=2809 finish=tool_calls ttft=0 gen=223315 nMsgs=19 roles=[system,user,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,tool] sysLen=11079
id=51 ts=08:49:50 model=deepseek-v4-pro prompt=40769 cached=40576 hitPct=99.5 (up) completion=312 reasoning=0 finish=stop ttft=0 gen=14966 nMsgs=21 roles=[system,user,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool] sysLen=11079
id=52 ts=08:50:06 model=deepseek-v4-flash prompt=148280 cached=2176 hitPct=1.5 (DOWN) completion=110 reasoning=0 finish=tool_calls ttft=0 gen=7524 nMsgs=93 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,user] sysLen=11521
id=53 ts=08:50:18 model=deepseek-v4-flash prompt=148453 cached=148352 hitPct=99.9 (up) completion=62 reasoning=0 finish=tool_calls ttft=0 gen=2832 nMsgs=95 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,user,assistant,tool] sysLen=11521
id=54 ts=08:50:22 model=deepseek-v4-flash prompt=150354 cached=148480 hitPct=98.8 (DOWN) completion=4088 reasoning=3375 finish=tool_calls ttft=0 gen=127798 nMsgs=97 roles=[system,user,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,tool,assistant,user,assistant,tool,assistant,tool] sysLen=11521
